Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Units,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,36,Australia,G,INDEX,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,124,Canada,G,INDEX,0.95,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,818,Egypt,G,INDEX,0.725,0.825,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,250,France,G,INDEX,0.65,0.65,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,380,Italy,G,INDEX,0.4,0.575,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,392,Japan,G,INDEX,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,484,Mexico,G,INDEX,0.9,0.775,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,604,Peru,G,INDEX,1,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,608,Philippines,G,INDEX,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,616,Poland,G,INDEX,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,620,Portugal,G,INDEX,0.9,0.925,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,410,Republic of Korea,G,INDEX,1,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,643,Russian Federation,G,INDEX,0.85,0.925,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,804,Ukraine,G,INDEX,0.525,0.525,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,826,United Kingdom of Great Britain and Northern Ireland,G,INDEX,1,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.3,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,840,United States of America,G,INDEX,0.8,,,,,,,,,,,,,,,,,,,,,,,,,