Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Level of requirement,Observation Status,Reporting Type,Units,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",36,Australia,TOTAL,TOTAL,A,G,NUMBER,114,113,157,191,228,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",76,Brazil,TOTAL,TOTAL,A,G,NUMBER,49,51,62,72,86,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",124,Canada,TOTAL,TOTAL,A,G,NUMBER,97,113,154,19,231,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",156,China,TOTAL,TOTAL,A,G,NUMBER,122,148,651,210,1047,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",818,Egypt,TOTAL,TOTAL,A,G,NUMBER,1,,,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",246,Finland,TOTAL,TOTAL,A,G,NUMBER,26,33,38,65,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",250,France,TOTAL,TOTAL,A,G,NUMBER,89,12,127,144,158,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",276,Germany,TOTAL,TOTAL,A,G,NUMBER,87,128,141,19,28,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",300,Greece,TOTAL,TOTAL,A,G,NUMBER,11,13,15,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",356,India,TOTAL,TOTAL,A,G,NUMBER,87,94,134,15,23,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",372,Ireland,TOTAL,TOTAL,A,G,NUMBER,21,24,3,34,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",376,Israel,TOTAL,TOTAL,A,G,NUMBER,5,6,7,9,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",380,Italy,TOTAL,TOTAL,A,G,NUMBER,45,79,86,17,116,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",392,Japan,TOTAL,TOTAL,A,G,NUMBER,256,273,298,316,34,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",404,Kenya,TOTAL,TOTAL,A,G,NUMBER,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",484,Mexico,TOTAL,TOTAL,A,G,NUMBER,29,3,34,37,57,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",578,Norway,TOTAL,TOTAL,A,G,NUMBER,21,44,51,68,71,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",586,Pakistan,TOTAL,TOTAL,A,G,NUMBER,,,1,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",604,Peru,TOTAL,TOTAL,A,G,NUMBER,3,5,6,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",608,Philippines,TOTAL,TOTAL,A,G,NUMBER,15,19,25,29,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",616,Poland,TOTAL,TOTAL,A,G,NUMBER,17,23,27,28,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",620,Portugal,TOTAL,TOTAL,A,G,NUMBER,7,12,12,12,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",643,Russian Federation,TOTAL,TOTAL,A,G,NUMBER,4,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",702,Singapore,TOTAL,TOTAL,A,G,NUMBER,3,37,73,85,89,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",724,Spain,TOTAL,TOTAL,A,G,NUMBER,32,49,51,53,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",804,Ukraine,TOTAL,TOTAL,A,G,NUMBER,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",826,United Kingdom of Great Britain and Northern Ireland,TOTAL,TOTAL,A,G,NUMBER,241,264,293,428,481,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",840,United States of America,TOTAL,TOTAL,A,G,NUMBER,366,46,649,853,188,1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",704,Viet Nam,TOTAL,TOTAL,A,G,NUMBER,,,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",1,World,TOTAL,TOTAL,A,G,NUMBER,2292,2449,4046,3981,4568,5203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,