country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,lat,lon
Australia,182,6,2,6,6,31,4,22,8,560,84,11,79,22,141,16,8,12,0,35,1,7,,-26.5112,133.163
Brazil,262,127,321,412,275,115,227,269,417,466,430,1070,92,383,83,121,312,278,84,454,262,82,10,-14.1434,-53.1121
Canada,17,12,45,7,10,4,1,6,2,18,0,20,11,61,32,0,0,2,86,2,1,815,,62.2335,-96.495
China,2590,2320,3200,2750,2560,3110,3080,2220,89200,1140,8000,1380,1090,1800,1960,1940,1660,662,510,841,546,580,29,34.405,104.957
Germany,31,6,120,9370,2,14,51,32,29,15,41,14,20,11,19,0,19,23,5,5,0,206,,51.956,10.279
Egypt,163,147,607,119,316,136,1280,73,350,103,69,106,92,134,214,254,299,81,12,75,40,98,24,26.4146,30.4753
Spain,87,106,33,15200,39,38,68,62,183,20,17,33,14,79,17,19,18,4,24,27,17,29,,39.5344,-2.2912
Finland,0,0,0,0,24,0,,,,,,,,,,,,,,,,,,64.578,26.48
France,125,48,53,19600,39,71,1410,31,7,16,81,6,12,10,22,3350,30,3,23,1450,1940,33,,46.1355,2.1234
UK,16,24,26,301,21,11,0,27,8,24,0,0,8,783,5,14,0,80,0,6,2560,1,,54.3759,-3.2556
Greece,137,11,41,37,54,121,4,130,2,12,1,43,33,12,86,88,467,42,116,7,22,29,,38.1631,23.4837
India,3450,21500,3880,3020,18400,6280,2000,2720,2520,2520,2060,1500,1030,7660,1470,3680,1730,2930,1710,2670,2440,2120,12,21.732,82.4741
Ireland,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,,,53.2511,-8.1425
Israel,15,15,0,0,0,7,0,0,24,0,46,0,0,4,0,0,0,0,12,0,7,,,31.256,35.424
Italy,59,139,121,20200,28,61,18,48,9,364,14,272,136,487,178,596,324,84,78,28,19,86,,41.5226,12.335
Japan,46,118,7,46,271,243,72,87,108,105,202,20000,186,430,301,71,116,62,446,288,97,96,,34.531,134.2248
Kenya,404,184,101,74,309,248,522,106,127,561,261,206,101,223,72,139,124,185,227,213,298,55,,0.1015,37.5414
South Korea,90,81,385,563,24,53,61,37,50,17,68,143,27,0,390,41,15,44,37,33,119,,,35.545,127.449
Mexico,324,45,268,88,52,120,199,210,151,121,294,153,124,337,22,161,197,576,79,212,82,188,,23.3729,-102.3443
Norway,19,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,13,0,0,1,10,,,59.91273,10.74609
Pakistan,349,306,315,699,274,74700,642,988,302,244,2470,646,1130,797,703,2040,709,488,320,628,710,207,22,30.263,69.2135
Peru,292,495,269,479,242,148,177,727,143,799,669,193,405,233,643,144,106,200,113,114,91,103,0,-9.1052,-75.08
Philippines,1090,738,529,488,2130,116,3080,195,1870,1410,1210,2040,2460,7910,403,334,89,331,842,1040,216,550,11,12.5255,121.461
Poland,84,297,202,0,0,205,88,19,104,349,236,26,290,29,89,78,23,6,9,4,3,4,,51.5521,19.812
Portugal,4,90,1,2720,2,477,41,16,2,0,46,0,0,21,1,1,4,109,13,31,,,,39.3328,-7.5041
Russia,493,1130,700,176,408,299,432,294,121,365,56100,308,520,214,144,253,293,88,235,163,39,113,,55.75866,37.61929
Singapore,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,1.2153,103.4921
Ukraine,90,84,136,17,66,814,184,147,135,40,67,54,209,2,12,66,57,37,10,44,45,16,,48.2247,31.105
USA,299,517,508,434,240,2070,398,382,383,221,197,833,318,230,217,347,347,366,327,240,253,931,19,37.09024,-95.71289
Vietnam,649,462,212,206,281,418,598,448,436,410,285,201,107,249,54,70,202,284,147,59,323,27,,13.31865,108.3681