country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon
Australia,0,0,249,30,0,0,7140,90,0,0,0,0,0,0,258,6500,540,114,0,6930,0,-26.5112,133.163
Brazil,213000,12500,3000,187000,2200,10300,0,0,3040,3150,13000,30000,8500,43200,67500,0,0,0,300,0,0,-14.1434,-53.1121
Canada,700,30,0,0,0,0,0,0,0,0,0,7000,0,0,0,36,0,0,0,0,0,62.2335,-96.495
China,410000,854000,2350,1810000,684000,281000,631000,69900,414000,158000,357000,308000,48600,153000,491000,96200,85500,81200,4000,819,0,34.405,104.957
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.956,10.279
Egypt,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,26.4146,30.4753
Spain,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,39.5344,-2.2912
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.578,26.48
France,200,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,46.1355,2.1234
UK,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3759,-3.2556
Greece,90,0,0,0,0,0,0,3740,0,325,0,0,0,0,0,0,0,0,0,0,0,38.1631,23.4837
India,252000,1790000,5200,236000,105000,464000,4150000,0,2400000,4000,907000,325000,0,0,650000,54100,2000000,60100,223000,0,0,21.732,82.4741
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,53.2511,-8.1425
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.256,35.424
Italy,0,0,9500,0,0,0,0,0,0,60000,0,0,14700,0,1000,0,0,0,0,0,0,41.5226,12.335
Japan,312,12,0,219,5800,0,99,40700,0,0,0,0,0,0,150,0,24000,300,0,0,0,34.531,134.2248
Kenya,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,1000,0,0,120,0,0.1015,37.5414
South Korea,4140,0,0,15000,3080,1840,0,600,0,0,0,2000,0,0,0,0,0,0,0,0,0,35.545,127.449
Mexico,0,800,0,3000,0,300000,0,30000,0,0,0,40000,4000,0,0,741,3000,1600,120,3000,0,23.3729,-102.3443
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.91273,10.74609
Pakistan,0,500,5000,2500,2320,5000000,5600,0,0,0,0,0,0,0,0,134000,7360,0,0,0,695,30.263,69.2135
Peru,50,125000,0,3950,70,0,325,0,0,150,1000,1710,51400,5250,2700,0,40,0,1300,0,0,-9.1052,-75.08
Philippines,125000,100000,3000,83200,8700,0,0,0,54600,110,0,0,35800,0,0,3300,0,53600,0,342000,705,12.5255,121.461
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5521,19.812
Portugal,60,200,60,0,0,0,0,0,38,0,0,0,0,46,0,0,462,2700,0,0,,39.3328,-7.5041
Russia,19100,400,1620,1800,1000,0,0,7500,0,0,1200,0,5750,0,0,0,0,0,0,0,,55.75866,37.61929
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.2153,103.4921
Ukraine,0,0,0,0,0,0,0,1270,0,0,0,0,0,2000,0,0,0,0,0,0,0,48.2247,31.105
USA,6370,75900,3410,16100,1040,1540,267,1130,300,1330,0,32100,1310,8250,180,12800,8380,109000,3240,444,0,37.09024,-95.71289
Vietnam,11900,23100,0,18900,0,18200,353000,47500,12700,109000,1620,0,297000,2450,0,115,6780,1140,0,765,2930,13.31865,108.3681