country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1480000,1550000,1620000,1690000,1760000,1830000,1890000,1960000,2030000,2100000,2170000,2220000,2270000,2320000,2370000,2420000,2420000,2400000,2390000,2390000
Brazil,3650000,4020000,4390000,4760000,5120000,5490000,5860000,6230000,6590000,6960000,7330000,7850000,8370000,8890000,9420000,9940000,10000000,9840000,10500000,10900000
Canada,9390000,9850000,10300000,10800000,11200000,11700000,12200000,12600000,13100000,13600000,14000000,14400000,14800000,15200000,15600000,16000000,16500000,16900000,17300000,17700000
China,54800000,56700000,58500000,60400000,62200000,64100000,65900000,67800000,69600000,71500000,73300000,74500000,75600000,76700000,77900000,79000000,80200000,81400000,82500000,83600000
Germany,5680000,5680000,5680000,5690000,5690000,5690000,5690000,5700000,5700000,5700000,5700000,5710000,5710000,5710000,5710000,5710000,5710000,5710000,5710000,5710000
Egypt,59200,59900,60500,61100,61800,62400,63100,63700,64400,65000,65600,62200,58800,55300,51900,48400,45000,45000,45000,45000
Spain,2390000,2410000,2430000,2450000,2470000,2490000,2510000,2530000,2560000,2580000,2600000,2600000,2610000,2610000,2610000,2620000,2580000,2590000,2590000,2590000
Finland,5140000,5320000,5500000,5670000,5850000,6030000,6200000,6380000,6560000,6730000,6910000,7000000,7090000,7180000,7280000,7370000,7370000,7370000,7370000,7370000
France,1590000,1630000,1680000,1730000,1780000,1830000,1880000,1930000,1980000,2020000,2070000,2110000,2150000,2190000,2220000,2260000,2290000,2330000,2360000,2400000
UK,2610000,2620000,2630000,2640000,2650000,2660000,2670000,2680000,2690000,2700000,2710000,2730000,2750000,2770000,2790000,2810000,2810000,2820000,2830000,2840000
Greece,129000,130000,131000,132000,133000,134000,135000,136000,137000,138000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000
India,9370000,9710000,10100000,10400000,10700000,11100000,11400000,11800000,12100000,12400000,12800000,12800000,12900000,12900000,13000000,13000000,13100000,13100000,13200000,13200000
Ireland,549000,558000,567000,576000,585000,594000,603000,612000,621000,631000,640000,643000,647000,651000,654000,658000,660000,662000,666000,670000
Israel,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88200,88400,88600,88800,89000,85000,85000,85000,85000
Italy,596000,599000,603000,607000,611000,615000,619000,623000,627000,630000,634000,635000,636000,637000,639000,640000,641000,642000,643000,644000
Japan,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10200000,10200000,10200000,10200000,10200000,10200000,10200000
Kenya,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000
South Korea,2070000,2090000,2100000,2120000,2140000,2150000,2170000,2190000,2200000,2220000,2240000,2240000,2250000,2260000,2270000,2280000,2280000,2270000,2270000,2270000
Mexico,39800,42400,45100,47800,50500,53100,55800,58500,61200,63800,66500,70000,73500,76900,80400,83900,87200,90500,93800,97100
Norway,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,114000,112000,111000,109000,108000,108000,108000,108000,108000
Pakistan,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000
Peru,715000,741000,766000,792000,817000,843000,868000,893000,919000,944000,970000,987000,1000000,1020000,1040000,1060000,1060000,1070000,1080000,1080000
Philippines,321000,324000,327000,330000,333000,336000,339000,342000,345000,348000,351000,354000,357000,360000,363000,366000,369000,372000,375000,378000
Poland,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000,7370000
Portugal,2270000,2260000,2260000,2250000,2250000,2250000,2240000,2240000,2230000,2230000,2220000,2230000,2240000,2240000,2250000,2260000,2260000,2260000,2260000,2260000
Russia,15400000,15800000,16200000,16600000,17100000,17500000,17900000,18300000,18800000,19200000,19600000,19700000,19700000,19700000,19800000,19800000,19400000,18900000,18900000,18900000
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,4700000,4710000,4720000,4730000,4740000,4760000,4770000,4780000,4790000,4800000,4820000,4830000,4840000,4850000,4860000,4870000,4850000,4850000,4850000,4850000
USA,22600000,22900000,23200000,23500000,23800000,24100000,24400000,24700000,25000000,25300000,25600000,25700000,25900000,26000000,26200000,26400000,26400000,27500000,27500000,27500000
Vietnam,1920000,2040000,2150000,2270000,2390000,2500000,2620000,2730000,2850000,2970000,3080000,3240000,3400000,3570000,3730000,3890000,4140000,4180000,4240000,4290000