country,removal_cm,lat,lon
Australia,31300000,-26.5112,133.163
Brazil,229000000,-14.1434,-53.1121
Canada,150000000,62.2335,-96.495
China,74500000,34.405,104.957
Germany,56100000,51.956,10.279
Egypt,17800000,26.4146,30.4753
Spain,15400000,39.5344,-2.2912
Finland,50800000,64.578,26.48
France,55200000,46.1355,2.1234
UK,10000000,54.3759,-3.2556
Greece,1740000,38.1631,23.4837
India,435000000,21.732,82.4741
Ireland,2630000,53.2511,-8.1425
Israel,27000,31.256,35.424
Italy,7740000,41.5226,12.335
Japan,19600000,34.531,134.2248
Kenya,27600000,0.1015,37.5414
South Korea,4350000,35.545,127.449
Mexico,5500000,23.3729,-102.3443
Norway,10700000,59.91273,10.74609
Pakistan,32600000,30.263,69.2135
Peru,1500000,-9.1052,-75.08
Philippines,16100000,12.5255,121.461
Poland,38300000,51.5521,19.812
Portugal,9140000,39.3328,-7.5041
Russia,197000000,55.75866,37.61929
Singapore,32300,1.2153,103.4921
Ukraine,17500000,48.2247,31.105
USA,324000000,37.09024,-95.71289
Vietnam,27100000,13.31865,108.3681